csv_row_number,reaction_key,physical_dataset_id,source_row_index,label_decision_id,campaign_id
44,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-07ebd33e7b184931b31c1e85a8de316b,ord_dataset-7d8f5fd922d4497d91cb81489b052746,640,a80b526be9663a3329bf648a4c27a4d91f409f5a404cb4d1a3ce0fa9d4282406,science_hte_campaign_3f02a74dbb14
45,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-08060218c61c443397b9882dd1305a2f,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1386,5ce82e3c1b625c0e8a0fd14ca1a4ec54321d3f5c2526fb62f70797e7d94a952d,science_hte_campaign_4dcfd4b46ebc
46,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-082b493e3e1949f3b79adf07e406ae3b,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1134,72daaaf9739584cd6414d14211622c0e5f85090e373d9851ca45fc57ca3ab510,science_hte_campaign_2a3be0de5f5e
47,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-084c3fed4d174750b117ad5ceda12071,ord_dataset-7d8f5fd922d4497d91cb81489b052746,18,5a2841ecd923e533c17c421138d324b8b28f432c73dcbbf28e0551bfe265cab7,science_hte_campaign_ac8fc337e171
48,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0871cb6712f648268b071c2540716cbc,ord_dataset-7d8f5fd922d4497d91cb81489b052746,567,b9f9de13e3db4536684401d298b3b71ce50d8542094c5b271a5d5870bbd4e426,science_hte_campaign_283f403f90e1
49,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0880688a3da24e12ac1dcf6ad795bc21,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1079,27938d09781f43280641db4baafecd1079c5eb753c73482f737b90fb3e92cdc8,science_hte_campaign_2a3be0de5f5e
50,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-08a7b8f6f9904758bb2f052f4e45040c,ord_dataset-7d8f5fd922d4497d91cb81489b052746,92,548a31457abfe6e8d8ebe025b927b85530e36f246eff3493af7eaca971e93cc1,science_hte_campaign_ac8fc337e171
51,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-08ab52e53f0545218e6c79f28e9b3bcb,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1521,274b79b93866fa7cb7c21db09babe6facaa19dbd779443239b7ef66f462a7a13,science_hte_campaign_ca267bf88824
52,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-08cab4f1bc2c4f4e885d387443e66935,ord_dataset-7d8f5fd922d4497d91cb81489b052746,126,943a1e25fa08516498288424d9a69843f118f653ec94c341372dc1a31bd7bbe7,science_hte_campaign_c99fb883b4d8
53,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-08dc1d22ecfb409a84988fe9b7cb1584,ord_dataset-7d8f5fd922d4497d91cb81489b052746,353,15fcbb264ca0c69c82c30e93518ce31e2e2942db113b9f17cd59771e31b25f91,science_hte_campaign_8510665e92be
54,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-08e7029cd06f4638af02b36e0d6ed909,ord_dataset-7d8f5fd922d4497d91cb81489b052746,51,681bb6050f4b2a440b8112f99ee85643882879c52620f1afef0295ac42252af9,science_hte_campaign_ac8fc337e171
