reaction_key,physical_dataset_id,source_row_index,label_decision_id,exclusion_reason
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-ac80287f11ab42229f3f7df754284557,ord_dataset-3b8a2ef300e145468579027f206a3ac8,133,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-ad49c346580348a183ec514b80e42a8a,ord_dataset-3b8a2ef300e145468579027f206a3ac8,124,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-b0e4c16ad95d42aebf8da9ea5c1646e9,ord_dataset-3b8a2ef300e145468579027f206a3ac8,204,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-b4984b1b3e4e463fa7da66e38b2cd96a,ord_dataset-3b8a2ef300e145468579027f206a3ac8,128,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-b556094d258d409a8fde67274e462916,ord_dataset-3b8a2ef300e145468579027f206a3ac8,148,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-b87166a22c5b4901b46b87284537cad3,ord_dataset-3b8a2ef300e145468579027f206a3ac8,1272,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-b948c3951608418c81fc0876932e9239,ord_dataset-3b8a2ef300e145468579027f206a3ac8,188,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-b9ed6ceaea5f4656bc2564b6c59dd184,ord_dataset-3b8a2ef300e145468579027f206a3ac8,74,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-bdb6940fae704fb193824231ddf6927d,ord_dataset-3b8a2ef300e145468579027f206a3ac8,168,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-c229eb2a332f42eba9306a05a9315c88,ord_dataset-3b8a2ef300e145468579027f206a3ac8,29,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-c287cd745dc842bb91dca7012eef0d65,ord_dataset-3b8a2ef300e145468579027f206a3ac8,194,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-c2db5e8e60654411bbec8bc08aaa4082,ord_dataset-3b8a2ef300e145468579027f206a3ac8,1246,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-c6ac569a367d404cad465e4cfe3722d1,ord_dataset-3b8a2ef300e145468579027f206a3ac8,1245,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-c75597a5908b4d7d99f9cde39d076f62,ord_dataset-3b8a2ef300e145468579027f206a3ac8,948,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-c7b3a7dfb0db4ff3950b12986abdfc3d,ord_dataset-3b8a2ef300e145468579027f206a3ac8,143,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-cbcb24c2d94342109e9f44f6c1b8e5c8,ord_dataset-3b8a2ef300e145468579027f206a3ac8,180,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-cc30d282694147698d4fd3dc7bc5439d,ord_dataset-3b8a2ef300e145468579027f206a3ac8,184,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-cd2d84447d7d4a2a94a342f8994df34c,ord_dataset-3b8a2ef300e145468579027f206a3ac8,116,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-d0c3a0fb96f244808e5d5c357a9eff8b,ord_dataset-3b8a2ef300e145468579027f206a3ac8,209,,non_finite_label
