reactant-1,reactant-2,catalyst-1,catalyst-2,catalyst-3,catalyst-4,solvent-1,solvent-2,solvent-3,product,temperature_c,reaction_time_s,illumination_wavelength_nm,reflux_value,yield_percent
O=C(NCc1ccc(F)cc1)c1nc(Br)c2cccnc2c1O,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(NCc1ccc(F)cc1)c1nc(N2CCCCC2)c2cccnc2c1O,55.0,57600.0,495.0,0.0,0.0
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N3CCCCC3)ccc1-2,55.0,57600.0,495.0,0.0,68.38578796386719
CC(=O)NC(C)(C)[C@@H]1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2cc(Cl)c(C)cc21,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CC(=O)NC(C)(C)[C@@H]1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2cc(N3CCCCC3)c(C)cc21,55.0,57600.0,495.0,0.0,0.0
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4N4CCCCC4)CC3)no2)n1,55.0,57600.0,495.0,0.0,0.0
O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(I)c(F)c1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(N2CCCCC2)c(F)c1,55.0,57600.0,495.0,0.0,0.0
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C1Nc2ccc(N3CCCCC3)cc2C(C#CC2CC2)(C(F)(F)F)O1,55.0,57600.0,495.0,0.0,0.0
CC1(C)OC(=O)C(Oc2ccc(Br)cn2)=C1c1ccc(S(C)(=O)=O)cc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CC1(C)OC(=O)C(Oc2ccc(N3CCCCC3)cn2)=C1c1ccc(S(C)(=O)=O)cc1,55.0,57600.0,495.0,0.0,18.69927215576172
O=C(c1c[nH]c2ccc(Br)cc12)[C@H]1CCCN1C(=O)OCc1ccccc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,O=C(c1c[nH]c2ccc(N3CCCCC3)cc12)[C@H]1CCCN1C(=O)OCc1ccccc1,55.0,57600.0,495.0,0.0,0.0
CC1(C)OC(=O)C(Oc2ccc(Br)cn2)=C1c1ccc(S(C)(=O)=O)cc1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CC1(C)OC(=O)C(Oc2ccc(N3CCCCC3)cn2)=C1c1ccc(S(C)(=O)=O)cc1,55.0,57600.0,495.0,0.0,19.459991455078125
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1,C1CCNCC1,C1CN2CCN1CC2,COCCOC.[Cl][Ni][Cl],,,CS(C)=O,CS(C)=O,CS(C)=O,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(N4CCCCC4)cnc32)CC1,55.0,57600.0,495.0,0.0,8.475397109985352
