reactant-1,reagent-1,reagent-2,reagent-3,reagent-4,reagent-5,catalyst-1,catalyst-2,solvent-1,solvent-2,product,temperature_c,reaction_time_s,yield_percent
CN(C)c1cccnc1-c1cccc2ccccc12,C(=NN(Cc1ccccc1)Cc1ccccc1)c1ccccn1,CC1(C)OBOC1(C)C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CN(C)c1cccnc1-c1c(B2OC(C)(C)C(C)(C)O2)ccc2ccccc12,50.0,25200.0,70.0
COc1cccc(OC)c1OC,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OBOC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1cc(B2OC(C)(C)C(C)(C)O2)cc(OC)c1OC,25.0,9000.0,7.0
Cc1cccc(N(C)C)c1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl-].[Cl-].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,23.0
O=C(NCc1ccccc1)c1ccc(C(F)(F)F)cc1,Cc1[nH]c2c(NC(=O)c3ccc(-c4ccccn4)nc3)cccc2c1C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CC1(C)OB(c2cc(C(F)(F)F)ccc2C(=O)NCc2ccccc2)OC1(C)C,60.0,345600.0,40.0
CC(Cc1ccc2c(c1)OCO2)C(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC(=O)O,O=C(O)O.[K],CC[N+](CC)(CC)CC.F[B-](F)(F)F,COc1cc(OC)c2ccccc2n1,CC(=O)O.[Pd],,CC#N,,CC1(C)OB(CC(Cc2ccc3c(c2)OCO3)C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)OC1(C)C,80.0,54000.0,55.0
CSc1cccc(C#N)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,Cc1ccc(C)cc1,,CSc1cc(C#N)cc(B2OC(C)(C)C(C)(C)O2)c1,55.0,86400.0,82.0
CC(=O)c1cccc(Br)c1,c1ccc(N2B(B3Nc4ccccc4N3c3ccccn3)Nc3ccccc32)nc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,COC1CCCC1,,CC(=O)c1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,150.0,57600.0,62.0
CNC(=O)c1ccc(OC)cc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1[nH]c2c(NC(=O)c3ccc(-c4ccccn4)nc3)cccc2c1C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CNC(=O)c1ccc(OC)cc1B1OC(C)(C)C(C)(C)O1,60.0,345600.0,59.0
O=C(Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F)c1ccccc1,O=S(=O)(O)OOS(=O)(=O)O.[K],Cc1ccc(S(=O)(=O)O)cc1.[Na],CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd],,CC#N,,CC1(C)OB(c2ccccc2C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)OC1(C)C,80.0,43200.0,59.0
Cc1cccc(N(C)C)c1,c1ccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,0.0
Cc1cccc(Br)c1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OBOC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,CCN(C(C)C)C(C)C,,Cc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,25.0,14400.0,43.0
CC(C)(C)C(=O)n1ccc2c(Br)cccc21,CC(C)(O)C(C)(C)O,BrB(Br)Br,,,,,,,,CC1(C)OB(c2ccc(Br)c3cc[nH]c23)OC1(C)C,25.0,57600.0,74.0
CCOC(=O)c1cc(F)ccc1Br,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,O=c1ccc2cccc(-c3ccc(-c4ccccn4)nc3)c2[nH]1,CC(C)(C)O.[K],,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,CCOC(=O)c1cc(F)c(B2OC(C)(C)C(C)(C)O2)cc1Br,80.0,43200.0,87.0
Cc1cccc(Br)c1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CC1(C)OBOC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,,,C1CCOC1,,Cc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1,25.0,14400.0,0.0
Cc1cccc(N(C)C)c1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(N(C)C)c1,80.0,28800.0,40.0
CC(C)N(C(=O)c1ccc[nH]1)C(C)C,O=c1ccc2cccc(-c3ccc(-c4ccccn4)nc3)c2[nH]1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],CC(C)(C)O.[K],C1CCOC1,,CC(C)N(C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)[nH]1)C(C)C,80.0,43200.0,63.0
COc1cccc(OC)c1OC,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,C1CCc2c(c3c(c4c2CCCC4)CCCC3)C1,CC1(C)OBOC1(C)C,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,C1CCOC1,,COc1cc(B2OC(C)(C)C(C)(C)O2)cc(OC)c1OC,25.0,9000.0,7.0
O=C(Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F)c1cccc(F)c1,O=C(C=Cc1ccc(C(F)(F)F)cc1)C=Cc1ccc(C(F)(F)F)cc1,O=S(=O)(O)OOS(=O)(=O)O.[K],CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,Cc1ccc(S(=O)(=O)O)cc1.[Na],,CC(=O)O.[Pd],,CC#N,,CC1(C)OB(c2ccc(F)cc2C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)OC1(C)C,80.0,86400.0,76.0
CC(C)(C)OC(=O)Nc1ccc(O)cc1,CC1(C)OBOC1(C)C,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[OH2+].C[OH2+].[Ir].[Ir],,COC(C)(C)C,,CC(C)(C)OC(=O)Nc1ccc(O)cc1B1OC(C)(C)C(C)(C)O1,50.0,43200.0,78.0
