reactant-1,reactant-2,reagent-1,reagent-2,catalyst-1,catalyst-2,solvent-1,solvent-2,solvent-3,product,temperature_c,reaction_time_s,reflux_value,conditions_are_dynamic_value,yield_percent
CC(=O)c1ccc(Br)s1,FC(F)n1ccnc1-c1ccccc1,CC(C)(C)C(=O)[O-].[K+],,CP(C)c1ccccc1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)c1ccc(-c2cnc(-c3ccccc3)n2C(F)F)s1,120.0,86400.0,0.0,0.0,67.5999984741211
CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(C)(C)C(=O)[O-].[K+],,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)c1ccc(-c2cncn2C(C)C)s1,120.0,86400.0,0.0,0.0,27.3700008392334
Fc1ccccc1Br,Cc1cn(Cc2ccccc2)c(C)n1,CC(C)(C)C(=O)[O-].[K+],,c1coc(P(c2ccco2)c2ccco2)c1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cc1nc(C)n(Cc2ccccc2)c1-c1ccccc1F,120.0,86400.0,0.0,0.0,1.7300000190734863
Fc1ccccc1Br,FC(F)n1ccnc1-c1ccccc1,CC(C)(C)C(=O)[O-].[K+],,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Fc1ccccc1-c1cnc(-c2ccccc2)n1C(F)F,120.0,86400.0,0.0,0.0,18.549999237060547
CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,Cn1ccnc1,CC(C)(C)C(=O)[O-].[K+],,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cn1cncc1-c1cncc(S(=O)(=O)NC(C)(C)C)c1,120.0,86400.0,0.0,0.0,74.61000061035156
Brc1ccccc1-c1ccccc1,Cc1cn(Cc2ccccc2)c(C)n1,CC(C)(C)C(=O)[O-].[K+],,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cc1nc(C)n(Cc2ccccc2)c1-c1ccccc1-c1ccccc1,120.0,86400.0,0.0,0.0,0.0
Fc1ccccc1Br,N#Cc1ccc(-n2ccnc2)cc1,CC(C)(C)C(=O)[O-].[K+],,CP(C)c1ccccc1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,N#Cc1ccc(-n2cncc2-c2ccccc2F)cc1,120.0,86400.0,0.0,0.0,2.4600000381469727
Brc1ccc2occc2c1,Cn1ccnc1,CC(C)(C)C(=O)[O-].[K+],,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cn1cncc1-c1ccc2occc2c1,120.0,86400.0,0.0,0.0,51.36000061035156
CC(=O)c1ccc(Br)s1,CC(C)n1ccnc1,CC(C)(C)C(=O)[O-].[K+],,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)c1ccc(-c2cncn2C(C)C)s1,120.0,86400.0,0.0,0.0,1.7000000476837158
CC(=O)c1ccc(Br)s1,O=[N+]([O-])c1ccc(-n2ccnc2-c2ccccc2)cc1,CC(C)(C)C(=O)[O-].[K+],,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)c1ccc(-c2cnc(-c3ccccc3)n2-c2ccc([N+](=O)[O-])cc2)s1,120.0,86400.0,0.0,0.0,31.790000915527344
CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,Cn1ccnc1,CC(C)(C)C(=O)[O-].[K+],,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,C=C[CH2][Pd][Cl].C=C[CH2][Pd][Cl],CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,Cn1cncc1-c1cncc(S(=O)(=O)NC(C)(C)C)c1,120.0,86400.0,0.0,0.0,19.290000915527344
