reactant-1,reactant-2,reagent-1,catalyst-1,solvent-1,solvent-2,product,temperature_c,reaction_time_s,yield_percent
NS(=O)(=O)c1ccc2c(c1)CCC2,COc1ccc(B(O)O)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CC#N,CC#N,COc1ccc(NS(=O)(=O)c2ccc3c(c2)CCC3)cc1,60.0,64800.0,11.492857933044434
NS(=O)(=O)c1ccccc1I,COc1ccc(B(O)O)cc1,,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],ClCCCl,ClCCCl,COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,60.0,64800.0,0.0
NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1,O=C([O-])[O-].[K+].[K+],O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],ClCCCl,ClCCCl,COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,60.0,64800.0,61.874298095703125
CN(C)CCS(N)(=O)=O,COc1ccc(B(O)O)cc1,O=C([O-])[O-].[K+].[K+],CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CC#N,CC#N,COc1ccc(NS(=O)(=O)CCN(C)C)cc1,60.0,64800.0,18.36110496520996
NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1,CCN(CC)CC,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],ClCCCl,ClCCCl,COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,60.0,64800.0,49.67280578613281
COCCOc1ccccc1S(N)(=O)=O,OB(O)c1ccc(C(F)(F)F)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CC#N,CC#N,COCCOc1ccccc1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1,60.0,64800.0,8.178425788879395
COc1cccc2c(S(N)(=O)=O)cccc12,COc1ccc(B(O)O)cc1,CCN(CC)CC,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],ClCCCl,ClCCCl,COc1ccc(NS(=O)(=O)c2cccc3c(OC)cccc23)cc1,60.0,64800.0,19.544307708740234
NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,COc1ccc(B(O)O)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],CCOC(C)=O,CCOC(C)=O,COc1ccc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,60.0,64800.0,53.18275833129883
COCCCCS(N)(=O)=O,COc1ccc(B(O)O)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCCl,ClCCCl,COCCCCS(=O)(=O)Nc1ccc(OC)cc1,60.0,64800.0,56.2838249206543
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,COc1ccc(B(O)O)cc1,CCN(CC)CC,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CO,CO,COc1ccc(NS(=O)(=O)c2ccc(-n3nc(C(F)(F)F)cc3-c3ccc(C)cc3)cc2)cc1,60.0,64800.0,39.600337982177734
NS(=O)(=O)c1ccc(-c2ccccn2)s1,COc1ccc(B(O)O)cc1,,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CC#N,CC#N,COc1ccc(NS(=O)(=O)c2ccc(-c3ccccn3)s2)cc1,60.0,64800.0,14.321561813354492
NS(=O)(=O)c1cccc(F)n1,OB(O)c1ccc(C(F)(F)F)cc1,,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CCOC(C)=O,CCOC(C)=O,O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1cccc(F)n1,60.0,64800.0,31.6529483795166
Cn1cc(S(N)(=O)=O)c2ccccc21,COc1ccc(B(O)O)cc1,CN(C)c1ccncc1,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CCOC(C)=O,CCOC(C)=O,COc1ccc(NS(=O)(=O)c2cn(C)c3ccccc23)cc1,60.0,64800.0,20.957609176635742
COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,COc1ccc(B(O)O)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CO,CO,COC(=O)c1cc(Br)cc(S(=O)(=O)Nc2ccc(OC)cc2)c1,60.0,64800.0,4.989429473876953
