reactant-1,reactant-2,reactant-3,reagent-1,reagent-2,reagent-3,reagent-4,reagent-5,catalyst-1,catalyst-2,solvent-1,solvent-2,product,lc_area_percent
COc1cc(C)nc(OCc2ccccc2)c1CN1CCc2c(C)cc(I)c(Cl)c2C1=O,Cc1cn(C)nn1,,,,,,,[Cl][Ni]([c]1cccc2ccccc12)([PH](c1ccccc1)(c1ccccc1)c1ccccc1)[PH](c1ccccc1)(c1ccccc1)c1ccccc1,,C1CCOC1,,Cc1cc(C)c(CN2CCc3c(Br)cc(-c4c(C)nnn4C)c(Cl)c3C2=O)c(OCc2ccccc2)n1,1.0
CC(C)(C)OC(=O)N1CCc2cc(Br)cc(OCc3ccccc3)c2C1,C[Si](C)(C)C(F)F,,CC(C)(C)[O-].[Li+],,,,,CC(=O)[O][Pd][O]C(C)=O,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccccc1,,CC(C)(C)OC(=O)N1CCc2cc(C(F)F)cc(OCc3ccccc3)c2C1,0.0
Fc1cc(Br)cc2cn[nH]c12,COS(=O)(=O)OC,,C[Si](C)(C)[O-].[Na+],,,,,,,CC#N,,Cn1ncc2cc(Br)cc(F)c21,67.0
CS(=O)(=O)N1CC[C@H]2O[C@@H]2C1,[NH4+].[OH-],,[Br-].[Br-].[Mg+2],,,,,,,Cc1ccccc1,,CS(=O)(=O)N1CC[C@H](O)[C@@H](N)C1,0.0
CONC(=O)c1cc(Cl)ccn1,C#C,,O=C([O-])[O-].[Na+].[Na+],F[B-](F)(F)F.[Ag+],F[B-](F)(F)F.[Ag+],,,CC1C(C)C(C)C(C)C1C.CC1C(C)C(C)C(C)C1C.[Cl][Rh][Cl].[Cl][Rh][Cl],,C1CCOC1,,O=c1[nH]ccc2c(Cl)ccnc12,0.0
Clc1cc2c(cnn2[C@H]2CCCCO2)c(Cl)n1,CN(c1ccccc1CN)S(C)(=O)=O,,CN(C)P(=NC(C)(C)C)(N(C)C)N(C)C,,,,,,,CC#N,,CN(c1ccccc1CNc1nc(Cl)cc2c1cnn2C1CCCCO1)S(C)(=O)=O,5.0
C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC(=O)[C@H](C)c3cccnc3)s2)s1)c1cccnc1,CC[Si](CC)CC,,,,,,,Cc1ccc(N(CCCc2ccccc2)C(=O)COc2ccccc2N)cc1,,C1CCOC1,,C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC[C@H](C)c3cccnc3)s2)s1)c1cccnc1,24.0
CCOC(=O)c1c[nH]nc1O,,,COc1ccc(OC(C)C(=O)[O-])cc1.[Na+],CC(=O)[O-].CC(=O)[O-].[Cu+2],,,,,,C1COCCO1,,CCOC(=O)c1cn(-c2ccc(Cl)cc2)nc1O,0.0
C=C(c1ccccc1)c1cc(Cl)nnc1N,,,,,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.O=S(=O)([O-])C(F)(F)F.[Rh+],C[C@H]([C@@H](C)P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,ClCCCl,,CC(c1ccccc1)c1cc(Cl)nnc1N,0.0
COC(=O)c1cc(Cl)ccc1Cl,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,,,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.C[O+]1[Ir-]2[O+](C)[Ir-]12,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,C1CCOC1,,COC(=O)c1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1Cl,0.0
CONS(=O)(=O)c1ccc(Br)cc1,C#C,,CC(=O)[O-].O.[K+],,,,,CC1C(C)C(C)C(C)C1C.CC1C(C)C(C)C(C)C1C.[Cl][Rh][Cl].[Cl][Rh][Cl],,C1CCOC1,,CC1=NS(=O)(=O)c2ccc(Br)cc21,0.0
C[C@H](Cn1ccc2c1nc(N)n1nc(-c3ccco3)nc21)OS(C)(=O)=O,CC(C)(C)OC(=O)N1CCNCC1,,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,,,,,,,Cc1ccccc1,,C[C@H](Cn1ccc2c1nc(N)n1nc(-c3ccco3)nc21)N1CCN(C(=O)OC(C)(C)C)CC1,0.0
Cc1sc2nc(NCc3ccccc3)cnc2c1I,Clc1ncnc2[nH]ccc12,,O=P([O-])([O-])[O-].[K+].[K+].[K+],,,,,[Cu][I],CN(C)CCN(C)C,Cc1ccccc1,,Cc1sc2nc(NCc3ccccc3)cnc2c1-n1ccc2c(Cl)ncnc21,0.0
Cc1n[nH]cc1[N+](=O)[O-],OCCCl,,CC(C)(C)N=P(N1CCCC1)(N1CCCC1)N1CCCC1,,,,,,,Cc1ccccc1,,Cc1nn(CCO)cc1[N+](=O)[O-],61.0
COc1ccc(-c2noc(C(F)(F)F)c2I)cc1,OB(O)c1ccc(OCc2ccccc2)cc1,,[Cs+].[F-],O,,,,CC(=O)[O][Pd][O]C(C)=O,CCCCP([C@]12C[C@@H]3C[C@H](C[C@@H](C3)C1)C2)[C@]12C[C@H]3C[C@@H](C[C@H](C3)C1)C2,Cc1ccccc1,,COc1ccc(-c2noc(C(F)(F)F)c2-c2ccc(OCc3ccccc3)cc2)cc1,69.0
CC(C)(C)OC(=O)N1CCC[C@@H](N(C(=O)c2ccc(Br)cc2)c2ncccc2Cl)C1,c1cnc2ccnn2c1,O,CC(=O)[O-].[K+],,,,,,ClCCl.[Cl][Pd][Cl].[Fe].c1ccc(P(c2ccccc2)C2CCCC2)cc1.c1ccc(P(c2ccccc2)C2CCCC2)cc1,CCC(C)(C)O,,CC(C)(C)OC(=O)N1CCC[C@@H](N(C(=O)c2ccc(-c3cnn4cccnc34)cc2)c2ncccc2Cl)C1,0.0
Cc1ccnc(-c2ccn(C)n2)c1,,,CCN(C(C)C)C(C)C,,,,,[OH][Pd][OH],,CO,,CC1CCNC(c2ccn(C)n2)C1,9.0
